     p4        x2         p5       p2

============= p4 = 6.0 =============
p4: 12.00, x2: 1.40, p5: 0.5618367, p2: 0.0602153
p4: 12.00, x2: 1.50, p5: 0.8366667, p2: 0.0738282
p4: 12.00, x2: 1.60, p5: 1.0325000, p2: 0.0844972
p4: 12.00, x2: 1.70, p5: 1.1706920, p2: 0.0926817
p4: 12.00, x2: 1.80, p5: 1.2662963, p2: 0.0987743
p4: 12.00, x2: 1.90, p5: 1.3301108, p2: 0.1031108
p4: 12.00, x2: 2.00, p5: 1.3700000, p2: 0.1059779
p4: 12.00, x2: 2.10, p5: 1.3917687, p2: 0.1076207
p4: 12.00, x2: 2.20, p5: 1.3997521, p2: 0.1082482
p4: 12.00, x2: 2.30, p5: 1.3972212, p2: 0.1080385
p4: 12.00, x2: 2.40, p5: 1.3866667, p2: 0.1071435
p4: 12.00, x2: 2.50, p5: 1.3700000, p2: 0.1056923
p4: 12.00, x2: 2.60, p5: 1.3486982, p2: 0.1037945
p4: 12.00, x2: 2.70, p5: 1.3239095, p2: 0.1015431
p4: 12.00, x2: 2.80, p5: 1.2965306, p2: 0.0990169
p4: 12.00, x2: 2.90, p5: 1.2672652, p2: 0.0962823
p4: 12.00, x2: 3.00, p5: 1.2366667, p2: 0.0933952
p4: 12.00, x2: 3.10, p5: 1.2051717, p2: 0.0904028
p4: 12.00, x2: 3.20, p5: 1.1731250, p2: 0.0873441
p4: 12.00, x2: 3.30, p5: 1.1407989, p2: 0.0842520
p4: 12.00, x2: 3.40, p5: 1.1084083, p2: 0.0811535
p4: 12.00, x2: 3.50, p5: 1.0761224, p2: 0.0780709
p4: 12.00, x2: 3.60, p5: 1.0440741, p2: 0.0750223
p4: 12.00, x2: 3.70, p5: 1.0123667, p2: 0.0720224
p4: 12.00, x2: 3.80, p5: 0.9810803, p2: 0.0690830
p4: 12.00, x2: 3.90, p5: 0.9502761, p2: 0.0662133
p4: 12.00, x2: 4.00, p5: 0.9200000, p2: 0.0634204
p4: 12.00, x2: 4.10, p5: 0.8902855, p2: 0.0607096
p4: 12.00, x2: 4.20, p5: 0.8611565, p2: 0.0580846
p4: 12.00, x2: 4.30, p5: 0.8326284, p2: 0.0555480
p4: 12.00, x2: 4.40, p5: 0.8047107, p2: 0.0531012
p4: 12.00, x2: 4.50, p5: 0.7774074, p2: 0.0507447
p4: 12.00, x2: 4.60, p5: 0.7507183, p2: 0.0484786
p4: 12.00, x2: 4.70, p5: 0.7246401, p2: 0.0463019
p4: 12.00, x2: 4.80, p5: 0.6991667, p2: 0.0442134
p4: 12.00, x2: 4.90, p5: 0.6742899, p2: 0.0422116
p4: 12.00, x2: 5.00, p5: 0.6500000, p2: 0.0402944
